# ContigOrdering file.  This file represents a ContigOrdering object, which describes an ordering of contigs within a Proximo cluster.
# See ContigOrdering.h for more documentation.
#
# Important numbers:
#	N_contigs	1057	(Number of contigs in the input cluster)
#	N_contigs_used	1057	(Number of contigs ordered by this ordering)
#	has_Q_scores	1	(Boolean: has orientation quality scores?)
#	has_gaps	0	(Boolean: have gap sizes between contigs been estimated?)
#
# Columns:
#contig_ID(local)	contig_name	contig_rc	orientation_Q_score	gap_size_after_contig
375	510405	0	139.704	.
607	1083870	1	8.3093	.
372	510232	1	82.6049	.
234	492047	0	57.8731	.
210	486238	1	26.1234	.
167	469947	0	17.9192	.
37	1349	0	157.097	.
300	502592	0	1.34545	.
320	504567	0	20.3757	.
774	3155512	1	4.34774	.
570	866330	0	3.27419	.
499	520021	1	26.7429	.
71	285751	1	3.46683	.
880	6215437	0	0.138342	.
193	483176	1	33.9639	.
175	475570	0	43.9449	.
628	1242491	0	7.10361	.
627	1242412	1	0.653866	.
19	742	1	26.8203	.
438	516726	1	40.7266	.
479	519093	0	40.0082	.
752	2774648	1	12.2559	.
754	2782310	0	5.88357	.
753	2774653	0	16.9253	.
755	2782315	0	11.4173	.
265	496581	1	7.65132	.
24	865	0	142.57	.
459	517778	0	39.8034	.
520	632280	1	4.18298	.
384	511352	0	53.8865	.
172	473442	1	38.0419	.
299	502591	0	106.577	.
41	1414	1	67.1337	.
54	203662	0	6.62158	.
192	483175	1	252.133	.
881	6264316	1	49.5009	.
883	6264318	1	41.5253	.
884	6264319	0	42.3644	.
882	6264317	0	47.4587	.
269	496996	1	7.13962	.
173	474610	0	30.8156	.
670	1668603	1	28.6004	.
668	1668585	0	34.5307	.
667	1668579	0	23.7968	.
669	1668590	1	15.9212	.
656	1477850	1	5.71875	.
651	1469525	1	5.1253	.
650	1469520	0	1.62641	.
657	1477855	0	1.38318	.
763	2929354	0	1.74911	.
418	514327	0	14.0329	.
200	484496	0	1.80728	.
819	4063764	1	12.4579	.
843	4641835	1	3.6352	.
820	4063765	0	1.79083	.
842	4641834	0	3.50295	.
1042	7224964	1	0.547475	.
1040	7224960	0	9.05411	.
514	556692	1	22.7177	.
428	515728	1	3.82713	.
515	556698	1	13.3323	.
1041	7224961	0	7.31007	.
118	441965	0	27.8087	.
414	513931	0	21.7183	.
989	7088760	0	2.2165	.
713	2365011	0	5.50423	.
716	2422298	1	3.45722	.
717	2422315	0	0.872036	.
151	462998	1	8.79045	.
534	672759	0	12.8483	.
640	1335399	1	16.8234	.
639	1335398	1	19.6128	.
533	672758	0	31.6096	.
448	517154	0	5.58696	.
501	520203	0	18.9597	.
810	3926006	1	0.854083	.
535	683296	0	6.94197	.
536	683298	1	25.1372	.
254	495749	0	224.516	.
266	496592	1	124.747	.
339	507398	1	145.996	.
188	482966	0	48.4625	.
212	486326	1	60.4448	.
168	470460	0	66.7453	.
626	1242160	1	6.00491	.
625	1242152	0	6.66773	.
559	791388	1	12.799	.
560	791389	0	3.26482	.
244	493092	1	1.35319	.
7	497	0	24.7488	.
1003	7164040	0	2.61889	.
255	495812	0	24.586	.
1005	7164042	1	22.7142	.
992	7109587	0	3.09634	.
993	7109589	0	12.9285	.
994	7109600	0	11.8556	.
97	377018	0	42.2128	.
218	486653	1	42.2896	.
322	505179	0	147.75	.
506	521063	0	243.843	.
407	513286	1	14.6865	.
834	4305846	1	0.636007	.
833	4305811	0	0.236781	.
804	3789615	1	2.0169	.
750	2768619	1	6.0261	.
246	493279	0	1.21109	.
744	2754301	0	3.4642	.
876	6024666	1	7.15899	.
268	496834	1	71.7986	.
447	517111	1	114.347	.
213	486358	1	36.8685	.
13	640	1	257.38	.
410	513555	0	2.3025	.
354	508945	0	142.52	.
355	508949	1	192.192	.
857	5287623	0	0.0750697	.
39	1362	0	273.586	.
349	508445	1	2.31986	.
587	967791	1	5.66235	.
567	836289	1	6.02834	.
568	836359	1	8.29399	.
586	967720	1	0.70405	.
369	509816	0	23.4112	.
430	515940	1	130.393	.
836	4384599	1	2.4638	.
837	4521238	1	2.13321	.
179	478741	1	0.433224	.
14	648	0	0.106218	.
962	6976113	1	34.5054	.
35	1208	1	0.878782	.
961	6976112	1	63.103	.
960	6976111	1	10.1228	.
959	6976110	1	14.8206	.
344	508002	0	129.592	.
74	293967	0	37.7603	.
220	486713	0	0.499172	.
558	790399	1	4.28838	.
408	513404	0	19.3306	.
346	508313	0	304.583	.
588	970517	1	3.43073	.
589	970523	1	0.355397	.
612	1129201	0	0.972695	.
611	1129195	1	3.74541	.
232	491725	1	46.5361	.
156	464284	0	50.5167	.
935	6792198	0	0.232342	.
564	794181	1	9.12723	.
561	794178	1	15.1798	.
563	794180	1	21.9806	.
562	794179	1	28.8379	.
370	510049	1	21.7015	.
40	1409	1	29.2	.
60	275174	0	54.1562	.
144	457482	1	12.4077	.
550	761447	1	4.67898	.
796	3590112	0	2.57547	.
449	517173	1	70.9923	.
319	504383	1	131.665	.
852	5129613	1	0.513401	.
260	496225	1	9.20534	.
130	445580	0	135.554	.
257	496005	1	216.518	.
140	447919	1	42.1065	.
707	2267948	1	16.4373	.
702	2221142	1	3.44262	.
701	2221141	0	0.292009	.
708	2267976	1	0.367092	.
356	508989	0	6.35833	.
376	510464	1	9.95443	.
461	517933	0	25.2399	.
305	503112	0	22.9308	.
761	2853551	1	0.132432	.
22	834	1	0.0274476	.
451	517225	0	63.118	.
431	516170	1	102.493	.
17	738	0	97.1164	.
397	512275	1	15.8186	.
835	4336956	0	1.78382	.
417	514227	1	59.0416	.
490	519606	1	46.2414	.
766	2989453	0	22.4477	.
765	2989452	0	24.419	.
653	1474509	1	41.5868	.
109	437513	0	2.24083	.
655	1474569	1	27.1299	.
745	2754315	0	1.66756	.
44	1449	1	83.9372	.
59	274972	0	27.9635	.
208	486158	1	9.39293	.
733	2571024	0	1.7744	.
797	3590137	1	11.7978	.
720	2441204	1	10.382	.
721	2441229	1	2.91233	.
126	443702	0	1.74679	.
350	508502	1	32.4614	.
660	1552756	1	2.20187	.
503	520549	1	16.468	.
117	441926	1	26.4692	.
1033	7210574	0	26.153	.
1036	7210583	1	24.6826	.
1035	7210580	1	5.78868	.
1034	7210575	1	2.67688	.
157	464785	0	196.283	.
123	443626	1	246.528	.
425	515333	0	131.106	.
288	500978	1	109.945	.
32	1165	0	748.701	.
38	1361	1	95.5836	.
632	1273787	1	3.79002	.
930	6690713	1	36.5302	.
927	6690700	1	27.7371	.
928	6690703	1	40.446	.
929	6690711	1	44.9622	.
99	378070	0	15.9076	.
201	484694	0	119.588	.
87	335584	0	43.5211	.
196	483625	0	20.8116	.
617	1151666	1	4.43374	.
614	1143991	1	10.1116	.
287	500929	0	93.1452	.
111	438434	0	145.876	.
101	431977	0	49.0234	.
343	507658	0	22.82	.
450	517197	0	11.1183	.
877	6024667	0	1.99291	.
198	483852	0	0	.
481	519165	0	135.199	.
20	754	0	41.1711	.
869	5776556	0	15.1278	.
850	5015498	0	1.08537	.
868	5776510	0	0.987883	.
849	5015453	0	0.282449	.
29	1128	0	1275.26	.
360	509299	0	20.4389	.
572	878778	0	5.50565	.
578	879321	0	2.75826	.
576	879306	1	0.0704739	.
202	485109	1	22.8239	.
128	444207	1	62.2325	.
395	512114	0	182.942	.
924	6681997	0	3.25004	.
48	1592	1	79.3988	.
159	465337	1	148.437	.
249	495043	0	4.02429	.
421	514873	0	26.721	.
591	1013537	1	1.5368	.
996	7151252	1	1.04952	.
997	7151253	0	4.72617	.
352	508802	1	248.823	.
107	435036	1	157.693	.
382	510990	1	355.6	.
886	6297341	1	6.96736	.
887	6297345	0	13.2993	.
885	6297340	0	6.93144	.
